DD/MM/YYYY HH:MM:SS, O, H, L, C
6/01/2005 0:00,1.3279,1.3305,1.3215,1.3256
7/01/2005 0:00,1.3256,1.3279,1.3157,1.3175
10/01/2005 0:00,1.3175,1.3326,1.3026,1.3072
11/01/2005 0:00,1.3072,1.313,1.3061,1.312
12/01/2005 0:00,1.312,1.3173,1.3103,1.3106
13/01/2005 0:00,1.3106,1.3294,1.3084,1.3259
14/01/2005 0:00,1.3259,1.3268,1.3194,1.321
17/01/2005 0:00,1.321,1.3211,1.3059,1.3104
18/01/2005 0:00,1.3104,1.313,1.3032,1.3033
19/01/2005 0:00,1.3033,1.3078,1.2997,1.3023
20/01/2005 0:00,1.3023,1.312,1.2965,1.3014
21/01/2005 0:00,1.3014,1.3026,1.2924,1.2953
24/01/2005 0:00,1.2953,1.3069,1.2934,1.3049
25/01/2005 0:00,1.3049,1.3102,1.3031,1.3037
26/01/2005 0:00,1.3037,1.3077,1.2947,1.2983
27/01/2005 0:00,1.2983,1.311,1.2971,1.306
28/01/2005 0:00,1.306,1.3125,1.3012,1.3032
31/01/2005 0:00,1.3032,1.3082,1.2988,1.3031
1/02/2005 0:00,1.3031,1.3061,1.2976,1.3051
2/02/2005 0:00,1.3051,1.3071,1.3003,1.3063
3/02/2005 0:00,1.3063,1.3095,1.3011,1.3025
4/02/2005 0:00,1.3025,1.3038,1.2943,1.2969
7/02/2005 0:00,1.2969,1.3043,1.2827,1.2832
8/02/2005 0:00,1.2832,1.2867,1.2734,1.2765
9/02/2005 0:00,1.2765,1.2799,1.2733,1.2769
10/02/2005 0:00,1.2769,1.2817,1.2741,1.2809
11/02/2005 0:00,1.2809,1.2908,1.274,1.287
14/02/2005 0:00,1.287,1.2897,1.2847,1.2895
15/02/2005 0:00,1.2895,1.2991,1.2892,1.2968
16/02/2005 0:00,1.2968,1.3054,1.2955,1.3007
17/02/2005 0:00,1.3007,1.3066,1.296,1.304
18/02/2005 0:00,1.304,1.3091,1.3017,1.3066
21/02/2005 0:00,1.3066,1.3084,1.3017,1.3062
22/02/2005 0:00,1.3062,1.308,1.3033,1.3061
23/02/2005 0:00,1.3061,1.3273,1.3057,1.3251
24/02/2005 0:00,1.3251,1.3276,1.3187,1.3216
