Trade,Open Time,Order,Close Time,Open Price,Close Price,Return ($),Balance,Return (Pips),Trade Classification
0,1/3/2012 5:00,Sell,1/3/2012 5:00,0.78655,0.78705,($6.00),"$9,994.00 ",-5,Losing
1,1/3/2012 11:00,Sell,1/3/2012 11:00,0.79026,0.78995,$2.10 ,"$9,996.10 ",3.1,Neutral
2,1/4/2012 2:00,Sell,1/4/2012 2:00,0.78978,0.78788,$18.00 ,"$10,014.10 ",19,Winning
3,1/5/2012 6:00,Buy,1/5/2012 6:00,0.78077,0.78174,$8.70 ,"$10,022.80 ",9.7,Winning
4,1/5/2012 8:00,Sell,1/5/2012 8:00,0.78247,0.78305,($6.80),"$10,016.00 ",-5.8,Losing
5,1/5/2012 17:00,Buy,1/5/2012 17:00,0.77939,0.78071,$12.20 ,"$10,028.20 ",13.2,Winning
6,1/6/2012 0:00,Buy,1/6/2012 0:00,0.77933,0.77916,($2.70),"$10,025.50 ",-1.7,Neutral
7,1/9/2012 2:00,Sell,1/9/2012 3:00,0.78161,0.78499,($34.80),"$9,990.70 ",-33.8,Losing
8,1/12/2012 22:00,Buy,1/12/2012 22:00,0.79107,0.79056,($6.10),"$9,984.60 ",-5.1,Losing
9,1/16/2012 6:00,Buy,1/16/2012 6:00,0.79191,0.79246,$4.50 ,"$9,989.10 ",5.5,Winning
10,1/17/2012 8:00,Buy,1/17/2012 10:00,0.80002,0.79991,($2.10),"$9,987.00 ",-1.1,Neutral
11,1/17/2012 19:00,Sell,1/17/2012 19:00,0.80052,0.80048,($0.60),"$9,986.40 ",0.4,Neutral
12,1/17/2012 21:00,Sell,1/17/2012 21:00,0.80083,0.8015,($7.70),"$9,978.70 ",-6.7,Losing
13,1/18/2012 18:00,Buy,1/18/2012 18:00,0.80219,0.8031,$8.10 ,"$9,986.80 ",9.1,Winning
14,1/18/2012 20:00,Buy,1/18/2012 21:00,0.80208,0.80202,($1.60),"$9,985.20 ",-0.6,Neutral
15,1/19/2012 0:00,Sell,1/19/2012 0:00,0.80219,0.80134,$7.50 ,"$9,992.70 ",8.5,Winning
16,1/22/2012 23:00,Sell,1/23/2012 0:00,0.8067,0.80716,($5.60),"$9,987.10 ",-4.6,Neutral
17,1/23/2012 17:00,Buy,1/23/2012 17:00,0.80917,0.81051,$12.40 ,"$9,999.50 ",13.4,Winning
18,1/23/2012 19:00,Sell,1/23/2012 19:00,0.81115,0.81166,($6.10),"$9,993.40 ",-5.1,Losing
19,1/23/2012 23:00,Buy,1/23/2012 23:00,0.80874,0.8099,$10.60 ,"$10,004.00 ",11.6,Winning
20,1/24/2012 13:00,Sell,1/24/2012 13:00,0.81045,0.81033,$0.20 ,"$10,004.20 ",1.2,Neutral
21,1/25/2012 14:00,Sell,1/25/2012 14:00,0.81419,0.81293,$11.60 ,"$10,015.80 ",12.6,Winning
22,1/26/2012 1:00,Sell,1/26/2012 1:00,0.81869,0.8189,($3.10),"$10,012.70 ",-2.1,Neutral
23,1/26/2012 13:00,Buy,1/26/2012 13:00,0.81973,0.81897,($8.60),"$10,004.10 ",-7.6,Losing
24,1/26/2012 17:00,Sell,1/26/2012 17:00,0.82167,0.82098,$5.90 ,"$10,010.00 ",6.9,Winning
25,1/26/2012 20:00,Buy,1/26/2012 20:00,0.81888,0.81993,$9.50 ,"$10,019.50 ",10.5,Winning
26,1/27/2012 9:00,Buy,1/27/2012 9:00,0.82024,0.82283,$24.90 ,"$10,044.40 ",25.9,Winning
27,1/29/2012 17:00,Sell,1/29/2012 17:00,0.82439,0.82255,$17.40 ,"$10,061.80 ",18.4,Winning
28,1/30/2012 12:00,Sell,1/30/2012 12:00,0.81956,0.81958,($1.20),"$10,060.60 ",-0.2,Neutral
29,1/31/2012 10:00,Buy,1/31/2012 10:00,0.82717,0.82625,($10.20),"$10,050.40 ",-9.2,Losing
30,1/31/2012 12:00,Buy,1/31/2012 12:00,0.82437,0.82573,$12.60 ,"$10,063.00 ",13.6,Winning
31,1/31/2012 14:00,Sell,1/31/2012 14:00,0.82574,0.82463,$10.10 ,"$10,073.10 ",11.1,Winning
32,1/31/2012 17:00,Sell,1/31/2012 17:00,0.82646,0.82591,$4.50 ,"$10,077.60 ",5.5,Winning
33,2/1/2012 7:00,Sell,2/1/2012 7:00,0.82949,0.83206,($26.70),"$10,050.90 ",-25.7,Losing
34,2/1/2012 14:00,Buy,2/1/2012 16:00,0.8323,0.83229,($1.10),"$10,049.80 ",-0.1,Neutral
35,2/1/2012 18:00,Sell,2/1/2012 18:00,0.83245,0.8331,($7.50),"$10,042.30 ",-6.5,Losing
36,2/2/2012 14:00,Buy,2/2/2012 14:00,0.83307,0.83347,$3.00 ,"$10,045.30 ",4,Neutral
37,2/2/2012 16:00,Buy,2/2/2012 16:00,0.8331,0.83295,($2.50),"$10,042.80 ",-1.5,Neutral
38,2/2/2012 18:00,Buy,2/2/2012 19:00,0.83173,0.83156,($2.70),"$10,040.10 ",-1.7,Neutral
39,2/2/2012 20:00,Sell,2/2/2012 20:00,0.83156,0.83143,$0.30 ,"$10,040.40 ",1.3,Neutral
40,2/6/2012 3:00,Sell,2/6/2012 3:00,0.83185,0.83056,$11.90 ,"$10,052.30 ",12.9,Winning
41,2/10/2012 4:00,Sell,2/10/2012 4:00,0.82881,0.82925,($5.40),"$10,046.90 ",-4.4,Neutral
42,2/10/2012 7:00,Buy,2/10/2012 7:00,0.82773,0.82637,($14.60),"$10,032.30 ",-13.6,Losing
43,2/10/2012 16:00,Buy,2/12/2012 17:00,0.82644,0.83034,$38.00 ,"$10,070.30 ",39,Winning
44,2/13/2012 10:00,Buy,2/13/2012 10:00,0.83349,0.83379,$2.00 ,"$10,072.30 ",3,Neutral
45,2/14/2012 1:00,Sell,2/14/2012 1:00,0.82974,0.82967,($0.30),"$10,072.00 ",0.7,Neutral
46,2/15/2012 21:00,Sell,2/15/2012 21:00,0.8308,0.82747,$32.30 ,"$10,104.30 ",33.3,Winning
